"DISTID","year","treated_2011","treated_2012","treated_2013","treated_ever","treated_always","newcourt_11","newcourt_13","newcourt_12","withdraw_12","withdraw_13","wdl_12_est_13","cohort","DF","IED_Explosion","intim_threat","intim_violent","totalcas","aog_no_ied","land_dispute","ied","aog","imf","operation","dispute","crime","protest","drugs","total","n_fob","NATO","USA","pop","ipop","security_index_total","pg_index_total","gov_index_total","security_index_2","recruit_bn","recruit","treated","gov_index2","return_good","dispute_court","gov_influence","NA_data"
1101,2012,0,0,0,0,0,0,0,0,0,0,0,10000,1,0,0,0,1,8,0,2,8,7,2,5,4,8,2,39,0,NA,NA,NA,65023,0.67117167844438,-420.039803413059,-0.132701057332689,0.575099975745939,1,1,0,-0.135303265765487,0.053030303030303,0.561643835616438,0.698630136986301,0.702819385662934
1101,2013,0,0,0,0,0,0,0,0,0,0,0,10000,2,0,0,0,1,14,0,2,14,0,6,8,4,4,0,43,0,NA,NA,NA,67470,1.10154408374424,-420.039948400894,1.68538461694814,1.02202509232934,0,0,0,1.67937130296187,0.18705035971223,0.459119496855346,0.89375,0.702819385662934
1101,2014,0,0,0,0,0,0,0,0,0,0,0,10000,4,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,69917,1.56243321033185,-420.040005563639,1.85045476962155,1.5988893259582,0,0,0,1.84514887712649,0.104895104895105,0.451127819548872,0.960227272727273,0.702819385662934
1102,2008,0,0,0,0,0,0,0,0,0,0,0,10000,2,0,0,0,1,0,0,2,0,1,1,0,0,0,2,10,0,NA,NA,NA,68831,1.59433841138575,-419.040063582247,1.13307257557635,1.43545307657893,0,0,0,1.1315835837642,NA,NA,0.7,0.691054846226067
1102,2009,0,0,0,0,0,0,0,0,0,0,0,10000,4,4,0,0,0,6,0,4,6,1,3,0,0,2,0,19,0,NA,NA,NA,71324,1.8531581476657,-419.039940330393,0.92918932822813,1.58227385063513,1,1,0,0.934525988458663,0,0.45,0.325,0.691054846226067
1102,2010,0,0,0,0,0,0,0,0,0,0,0,10000,4,1,1,0,2,8,0,2,8,4,3,0,0,0,4,26,0,NA,NA,73816.6016426086,73817,1.62412622885037,-419.039923106761,3.4443814311817,1.4016037702352,1,3,0,3.41553976963888,0.0142857142857143,0.785714285714286,0.9,0.691054846226067
1102,2011,0,0,0,0,0,0,0,0,0,0,0,10000,2,0,0,0,0,10,0,1,11,1,6,9,0,1,1,33,0,NA,NA,NA,76816,-0.0207443852846198,-419.039667910497,-1.46421788518715,-0.327616156248587,0,0,0,-1.47812941502817,0.0583333333333333,0.9,0.315384615384615,0.691054846226067
1102,2012,0,0,0,0,0,0,0,0,0,0,0,10000,1,1,0,0,0,7,0,2,8,3,4,4,1,2,0,21,0,NA,NA,NA,79816,0.833630598869807,-419.039748328555,-0.40846342339739,0.768369270498442,1,1,0,-0.41554196184229,0.148809523809524,0.664948453608247,0.704081632653061,0.691054846226067
1102,2013,0,0,0,0,0,0,0,0,0,0,0,10000,3,0,0,0,0,7,0,1,7,0,3,4,0,1,1,18,0,NA,NA,NA,82815,1.48946222166059,-419.039940573393,1.33553665205483,1.39056887360116,1,2,0,1.3292813257221,0.149090909090909,0.438775510204082,0.932203389830508,0.691054846226067
1102,2014,0,0,0,0,0,0,0,0,0,0,0,10000,7,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,85815,1.41679134750474,-419.039916387041,1.49854985905956,1.3472826679075,0,0,0,1.49007105432871,0.133620689655172,0.386363636363636,0.960714285714286,0.691054846226067
1113,2008,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,NA,NA,NA,45416,NA,-408.039759694193,2.17073050158826,0.507646174338673,0,0,0,2.15426817843113,NA,NA,0.95,0.869978312425888
1113,2009,0,0,0,0,0,0,0,0,0,0,0,10000,0,2,0,0,1,1,0,3,1,0,0,0,0,0,0,8,0,NA,NA,NA,47053,1.86671978552192,-408.039578726829,-0.148967287211615,1.63429083557573,0,0,0,-0.164318651986032,0.05,0.35,0.75,0.869978312425888
1113,2010,0,0,0,0,0,0,0,0,0,0,0,10000,1,1,0,0,0,1,0,3,2,0,1,0,1,2,0,9,0,NA,NA,48690.0994911194,48690,0.592853483285701,-408.039553484991,1.35045884832259,0.578188756213277,0,0,0,1.32084011184589,0.05,0.525,0.875,0.869978312425888
1113,2011,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,1,0,1,1,0,0,2,2,0,0,13,0,NA,NA,NA,50659,-1.25318706094366,-408.039484469159,-2.95192051210399,-1.25275308532999,0,0,0,-2.94980845012353,0.122448979591837,0.228571428571429,0.532110091743119,0.869978312425888
1113,2012,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,1,0,0,4,1,0,4,2,1,2,0,1,0,10,0,NA,NA,NA,52628,1.13176359474693,-408.039784110834,1.33479492315809,1.08027001069712,1,1,0,1.32123912839928,0.159090909090909,0.517857142857143,1,0.869978312425888
1113,2013,0,0,0,0,0,0,0,0,0,0,0,10000,1,0,0,0,0,3,0,2,3,0,1,2,2,0,0,9,0,NA,NA,NA,54597,1.08593396069375,-408.039935059254,2.24866910303919,0.911917041964017,0,0,0,2.24176286013647,0.0808080808080808,0.294642857142857,0.991071428571429,0.869978312425888
1113,2014,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,56566,1.40414649090849,-408.039883792783,2.00768610572862,1.37953130815582,0,0,0,2.00044134072192,0.099009900990099,0.416666666666667,0.991666666666667,0.869978312425888
1115,2008,0,0,0,0,0,0,0,0,0,0,0,10000,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4,0,NA,NA,NA,67651,1.95803500422216,-406.040192832429,2.93523785542087,1.7008747749184,0,0,0,2.93495771538926,NA,NA,0.15,0.704247392697484
1115,2009,0,0,0,0,0,0,0,0,0,0,0,10000,2,3,0,0,0,4,0,4,4,3,3,2,1,0,7,21,0,NA,NA,NA,70104,1.32306402359685,-406.039910070941,1.91112531687045,1.19300971344381,0,0,0,1.90012302068622,0.157894736842105,0.894736842105263,0.483333333333333,0.704247392697484
